"name","pos","team","overallRank","projections","projectedPts_espn","projectedPts_cbs","projectedPts_nfl","projectedPts_fp","projectedPtsAvg","projectedPtsLatent","actualPts","pick","sdPts","sdPick","risk"
"Da'Rick Rogers","WR","BUF",389,18.6,NA,NA,NA,18.6,9.25,2.49855364444977,NA,186.5,NA,3.5,1.99703108279871
"Andre Caldwell","WR","DEN",390,18.5875,NA,NA,31.625,18.5875,25.10625,7.2445218499102,4.65,NA,9.21890465971961,NA,4.64567387627508
"Michael Robinson","RB","SEA",391,18.47,NA,NA,11.85,18.47,15.16,5.29486542633623,44.15,NA,4.68104689145494,NA,3.2150047540464
"Adrien Robinson","TE","NYG",392,18.425,NA,NA,NA,18.425,18.425,2.48448796889238,NA,NA,NA,NA,NA
"Garrett Celek","TE","SF",393,18.2625,NA,NA,NA,18.2625,18.2625,2.47167568737405,6.38,NA,NA,NA,NA
"Daniel Fells","TE","NE",394,18.125,NA,NA,NA,18.125,18.125,2.4610215847016,11.63,NA,NA,NA,NA
"Alex Green","RB","GB",395,17.965,14.65,NA,NA,17.965,16.1575,5.68242308894526,62.03,NA,2.34405897963341,NA,2.4782129427545
"Lance Ball","RB","DEN",396,17.7775,NA,NA,NA,17.7775,17.7775,2.43486003772642,35.43,NA,NA,NA,NA
"Taiwan Jones","RB","OAK",397,17.625,NA,NA,17.625,17.625,17.625,5.9250964020647,15.42,NA,NA,NA,NA
"Tyler Wilson","QB","OAK",398,17.618,NA,4.682,NA,17.618,11.15,3.77355879527568,NA,NA,9.14713332142918,NA,4.62304623063329
"Dane Sanzenbacher","WR","CIN",399,17.4625,NA,NA,NA,17.4625,17.4625,2.41209160066256,NA,NA,NA,NA,NA
"Anthony Dixon","RB","SF",400,17.425,NA,NA,NA,17.425,17.425,2.40944101622324,28.3,NA,NA,NA,NA
"Cedric Peerman","RB","CIN",401,17.205,NA,NA,NA,17.205,17.205,2.39414781467366,50.17,NA,NA,NA,NA
"Brandon Tate","WR","CIN",402,17.0875,NA,NA,27.5,17.0875,22.29375,6.55520870206431,50.32,NA,7.36274935910492,NA,4.06047614415973
"Bruce Gradkowski","QB","PIT",403,16.856,25.92,11.622,NA,16.856,17.9826666666667,10.2726749287857,NA,NA,7.23398986267836,NA,4.01988160701503
"Taylor Thompson","TE","TEN",404,16.85,NA,NA,NA,16.85,16.85,2.37039580524561,14.25,NA,NA,NA,NA
"Kenjon Barner","RB","CAR",405,16.8425,NA,22.5575,NA,16.8425,13.0333333333333,6.39967486725294,NA,NA,4.04111525448112,NA,3.01325086925997
"Orson Charles","TE","CIN",406,16.775,NA,NA,NA,16.775,16.775,2.36552402090899,12.97,NA,NA,NA,NA
"Drew Davis","WR","ATL",407,16.7375,NA,NA,NA,16.7375,16.7375,2.3631072597351,15.5,NA,NA,NA,NA
"Tashard Choice","RB","BUF",408,16.6675,9.825,NA,10.7,16.6675,12.1475,7.82536516100868,27.43,NA,3.72371873937869,NA,2.91318396173464
"Brice Butler","WR","OAK",409,16.5625,NA,NA,23,16.5625,19.78125,6.14253276025681,NA,NA,4.5519999038884,NA,3.17431957838505
"Montell Owens","RB","DET",410,16.5275,NA,NA,11.5,16.5275,14.01375,4.99264077905326,51.03,NA,3.55497934241537,NA,2.85998479656309
"Chris Harper","WR","SEA",411,16.075,NA,NA,26.75,16.075,21.4125,6.22854303628878,NA,NA,7.54836488916639,NA,4.11899591737126
"Danny Ware","RB",NA,412,16.07,NA,NA,NA,16.07,16.07,2.32222290950006,NA,NA,NA,NA,NA
"Cedric Benson","RB","FA",413,15.9975,57.725,NA,NA,15.9975,36.41125,7.95732009744273,45.93,186.5,29.5057982119617,12.5,7.53723144465499
"David Reed","WR","BAL",414,15.9125,NA,NA,33.875,15.9125,24.89375,6.48810542127183,11.75,NA,12.7014055570634,NA,5.74361628795818
"Ryan Torain","RB","NYG",415,15.7825,NA,NA,NA,15.7825,15.7825,2.30585861862716,NA,NA,NA,NA,NA
"Keiland Williams","RB","WAS",416,15.76,NA,NA,NA,15.76,15.76,2.30460956490447,NA,NA,NA,NA,NA
"Jed Collins","RB","NO",417,15.6075,NA,18.5925,NA,15.6075,17.1,5.77174731848686,19.75,NA,2.11071374184185,NA,2.40464522786
"Ladarius Green","TE","SD",418,15.45,NA,NA,NA,15.45,15.45,2.28786780007346,7,NA,NA,NA,NA
"Kris Durham","WR","DET",419,15.175,NA,NA,22.125,15.175,18.65,5.74970016768157,22.63,NA,4.91439212924651,NA,3.2885724689409
"Dezmon Briscoe","WR","WAS",420,14.9375,NA,NA,NA,14.9375,14.9375,2.26210142303182,NA,NA,NA,NA,NA
"Chase Daniel","QB","KC",421,14.794,NA,NA,NA,14.794,7.397,2.2553137210852,NA,NA,NA,NA,NA
"Brian Robiskie","WR",NA,422,14.7,NA,NA,NA,14.7,14.7,2.25096865994055,11.5,NA,NA,NA,NA
"Aaron Mellette","WR","BAL",423,14.675,NA,NA,NA,14.675,14.675,2.24982654946615,NA,NA,NA,NA,NA
"Julius Thomas","TE","DEN",424,14.5375,NA,NA,NA,14.5375,14.5375,2.24364626527199,NA,NA,NA,NA,NA
"Chris Polk","RB","PHI",425,14.5325,12.375,NA,NA,14.5325,13.45375,4.8845065821543,NA,NA,1.52558288040998,NA,2.2201686094503
"Joe Webb","WR","MIN",426,14.4375,NA,NA,NA,14.4375,14.4375,2.23925921354396,NA,NA,NA,NA,NA
"Michael Williams","TE","DET",427,14.425,NA,NA,NA,14.425,14.425,2.23871720907613,NA,NA,NA,NA,NA
"Michael Turner","RB","FA",428,14.06,76.225,NA,NA,14.06,44.9425,8.09400875014859,159.3,171.9,43.9572930524617,16.7,10.2903485389912
"Kevin Dorsey","WR","GB",429,13.8125,NA,NA,27.625,13.8125,20.71875,5.59980949308255,NA,NA,9.76691241513919,NA,4.81844654004247
"Le'Ron McClain","RB","SD",430,13.6125,15.825,NA,11.25,13.6125,13.5625,8.41548092993912,7.83,NA,2.28790979935836,NA,2.46051055925986
"Jeff Fuller","WR","MIA",431,13.5125,NA,NA,NA,13.5125,13.5125,2.20297849892182,NA,NA,NA,NA,NA
"Eric Weems","WR","CHI",432,13.4875,NA,NA,35.875,13.4875,24.68125,5.68774292228255,16.5,NA,15.8303530638138,NA,6.73009246495263
"Jerrel Jernigan","WR","NYG",433,13.45,NA,NA,NA,13.45,13.45,2.2008069786483,6.55,NA,NA,NA,NA
"Jarrett Boykin","WR","GB",434,13.4375,NA,NA,NA,13.4375,13.4375,2.2003769259257,5.88,NA,NA,NA,NA
"Chris ""Beanie"" Wells","RB",NA,435,13.3025,NA,NA,NA,13.3025,13.3025,2.1958226548154,NA,NA,NA,NA,NA
"Da'Rel Scott","RB","NYG",436,13.2425,7.25,NA,NA,13.2425,10.19625,4.00038177309011,NA,NA,4.23733738626039,NA,3.07511462951216
"Niles Paul","TE","WAS",437,12.95,NA,NA,NA,12.95,12.95,2.18471021608991,38.06,NA,NA,NA,NA
"Trindon Holliday","WR","DEN",438,12.8625,NA,NA,NA,12.8625,12.8625,2.18212639735231,31.79,NA,NA,NA,NA
"Cierre Wood","RB","HOU",439,12.7625,NA,NA,NA,12.7625,6.28125,2.17925848829407,NA,NA,NA,NA,NA
"Devin Aromashodu","WR","CHI",440,12.75,NA,NA,25.5,12.75,19.125,5.22613812185705,22.75,NA,9.01561146012848,NA,4.58158079132911
"Tobais Palmer","WR","JAC",441,12.675,NA,NA,NA,12.675,12.675,2.17682346617994,NA,NA,NA,NA,NA
"Hayden Smith","TE","NYJ",442,12.525,NA,NA,NA,12.525,12.525,2.17281069317534,NA,NA,NA,NA,NA
"Darrel Young","RB","WAS",443,12.4375,NA,NA,NA,12.4375,12.4375,2.17056414678416,34.63,NA,NA,NA,NA
"Evan Moore","TE",NA,444,12.375,NA,NA,NA,12.375,12.375,2.16900198411139,NA,NA,NA,NA,NA
"Devon Wylie","WR","KC",445,12.2125,NA,NA,NA,12.2125,12.2125,2.16510616311422,10.97,NA,NA,NA,NA
"Steve Maneri","TE","CHI",446,12.1,NA,NA,NA,12.1,12.1,2.16254935022926,7.38,NA,NA,NA,NA
"Lavelle Hawkins","WR","NE",447,11.95,NA,NA,23.25,11.95,17.6,4.94747720097592,11.85,NA,7.99030662740799,NA,4.25832871073206
"Michael Egnew","TE","MIA",448,11.7125,NA,NA,NA,11.7125,11.7125,2.15462115892586,NA,NA,NA,NA,NA
"Deon Butler","WR","SD",449,11.6875,NA,NA,23.375,11.6875,17.53125,4.87574334749087,NA,NA,8.26431050511777,NA,4.34471504261576
"Spencer Ware","RB","SEA",450,11.375,NA,NA,NA,11.375,11.375,2.14882555772635,NA,NA,NA,NA,NA
"Dennis Johnson","RB","HOU",451,11.25,NA,NA,NA,11.25,11.25,2.14694120424298,NA,NA,NA,NA,NA
"Devery Henderson","WR","WAS",451,11.25,NA,NA,NA,11.25,11.25,2.14694120424298,48.8,NA,NA,NA,NA
"James Hanna","TE","DAL",453,11.15,NA,NA,NA,11.15,11.15,2.14553575342666,15.75,NA,NA,NA,NA
"Sean McGrath","TE","SEA",454,11.05,NA,NA,NA,11.05,11.05,2.14422099769507,NA,NA,NA,NA,NA
"Chase Coffman","TE","ATL",455,11.0375,NA,NA,NA,11.0375,11.0375,2.14406303022679,NA,NA,NA,NA,NA
"Chastin West","WR","DET",455,11.0375,NA,NA,NA,11.0375,11.0375,2.14406303022679,NA,NA,NA,NA,NA
"Konrad Reuland","TE","NYJ",457,10.85,NA,NA,NA,10.85,10.85,2.14186357148628,11.66,NA,NA,NA,NA
"Travaris Cadet","RB","NO",458,10.805,NA,NA,NA,10.805,10.805,2.14138314625473,20.84,NA,NA,NA,NA
"Baron Batch","RB","PIT",459,10.745,NA,NA,NA,10.745,10.745,2.14077114823112,18.78,NA,NA,NA,NA
"Colt McCoy","QB","SF",460,10.71,NA,NA,NA,10.71,10.71,2.14042922744181,8.66,NA,NA,NA,NA
"Dion Sims","TE","MIA",461,10.5625,NA,NA,NA,10.5625,10.5625,2.13911034545981,NA,NA,NA,NA,NA
"Jeremy Stewart","RB","OAK",462,10.46,NA,NA,NA,10.46,10.46,2.13831003732929,18.71,NA,NA,NA,NA
"Henry Hynoski","RB","NYG",463,10.44,NA,NA,NA,10.44,10.44,2.13816498979315,15.25,NA,NA,NA,NA
"Kevin Cone","WR","ATL",464,10.4375,NA,NA,NA,10.4375,10.4375,2.1381471139311,NA,NA,NA,NA,NA
"Matthew Mulligan","TE","GB",465,10.3375,NA,NA,NA,10.3375,10.3375,2.13747856067852,22.5,NA,NA,NA,NA
"Anthony Allen","RB","BAL",466,10.25,7.15,NA,NA,10.25,8.7,3.76892100103703,26.22,NA,2.1920310216783,NA,2.43028246183838
"Ryan D'Imperio","RB",NA,467,10.2025,NA,NA,NA,10.2025,10.2025,2.13671987886568,NA,NA,NA,NA,NA
"Rex Burkhead","RB","CIN",468,9.99,16.25,NA,NA,9.99,13.12,4.35591772878394,NA,NA,4.42648845022779,NA,3.13474906507058
"Clay Harbor","TE","PHI",469,9.7625,NA,NA,8.5,9.7625,9.13125,3.87212883807695,34.25,NA,0.892722311248016,NA,2.02064404935764
"Bear Pascoe","TE","NYG",470,9.6125,NA,NA,NA,9.6125,9.6125,2.13534389947597,11.38,NA,NA,NA,NA
"Matt Slater","WR","NE",471,9.5875,NA,NA,NA,9.5875,9.5875,2.13535531711096,NA,NA,NA,NA,NA
"Stephen Burton","WR","MIN",471,9.5875,NA,NA,NA,9.5875,9.5875,2.13535531711096,10.38,NA,NA,NA,NA
"Preston Parker","WR","NO",473,9.3875,NA,NA,NA,9.3875,9.3875,2.13565072213157,NA,NA,NA,NA,NA
"Michael Smith","RB","TB",474,9.2275,NA,NA,NA,9.2275,9.2275,2.1361482479922,NA,NA,NA,NA,NA
"Stanley Havili","RB","IND",475,9.0925,NA,NA,NA,9.0925,9.0925,2.13674863202459,20.44,NA,NA,NA,NA
"Chris Thompson","RB","WAS",476,9.05,NA,NA,NA,9.05,4.525,2.13697185086488,NA,NA,NA,NA,NA
"Jerome Felton","RB","MIN",477,8.9375,NA,NA,NA,8.9375,8.9375,2.13764179904268,4.7,NA,NA,NA,NA
"Gary Barnidge","TE","CLE",478,8.775,NA,NA,NA,8.775,8.775,2.13881214879609,23.25,NA,NA,NA,NA
"Terrance Ganaway","RB","STL",479,8.745,NA,NA,NA,8.745,4.3725,2.13905440157168,NA,NA,NA,NA,NA
"Alan Bonner","WR","HOU",480,8.7,NA,NA,NA,8.7,8.7,2.13943308553064,NA,NA,NA,NA,NA
"Matt Moore","QB","MIA",481,8.616,NA,NA,NA,8.616,8.616,2.14018910085099,8.94,NA,NA,NA,NA
"Brett Brackett","TE","JAC",482,8.5875,NA,NA,NA,8.5875,8.5875,2.14046014560466,NA,NA,NA,NA,NA
"Edwin Baker","RB","SD",483,8.56,NA,NA,NA,8.56,8.56,2.14072866353774,NA,NA,NA,NA,NA
"Lawrence Vickers","RB",NA,484,8.5525,NA,NA,NA,8.5525,8.5525,2.1408030860743,16.88,NA,NA,NA,NA
"Josh McCown","QB","CHI",485,8.534,NA,3.682,NA,8.534,6.108,3.121180295594,NA,NA,3.43088210231713,NA,2.82086014818737
"Drew Stanton","QB","ARI",486,8.484,NA,6.51,NA,8.484,7.497,3.57378365388013,NA,NA,1.39582878606224,NA,2.17926050131957
"Brandon Jackson","RB","CLE",487,8.4125,NA,NA,NA,8.4125,8.4125,2.14228594943137,7.9,NA,NA,NA,NA
"Cyrus Gray","RB","KC",488,8.4075,NA,NA,NA,8.4075,4.20375,2.14234219653378,9.81,NA,NA,NA,NA
"Toney Clemons","WR","JAC",489,8.375,NA,NA,NA,8.375,8.375,2.14271332943139,5.13,NA,NA,NA,NA
"Domanique Davis","QB","ATL",490,8.198,NA,NA,NA,8.198,8.198,2.14490273177802,NA,NA,NA,NA,NA
"Weslye Saunders","TE","IND",491,8.1,NA,NA,NA,8.1,8.1,2.14623715487352,NA,NA,NA,NA,NA
"Armanti Edwards","WR","CAR",492,8.0875,NA,NA,NA,8.0875,8.0875,2.14641362553033,21.87,NA,NA,NA,NA
"Levine Toilolo","TE","ATL",493,8.075,NA,NA,NA,8.075,8.075,2.14659151329778,NA,NA,NA,NA,NA
"Michael Cox","RB","NYG",494,8.03,NA,NA,NA,8.03,8.03,2.14724364293733,NA,NA,NA,NA,NA
"Ryan Griffin","TE","HOU",495,8.0125,NA,NA,NA,8.0125,8.0125,2.14750220879569,NA,NA,NA,NA,NA
"Bruce Miller","RB","SF",496,7.9325,NA,NA,NA,7.9325,7.9325,2.14871959523128,22.3,NA,NA,NA,NA
"Tyrod Taylor","QB","BAL",497,7.928,NA,7.142,NA,7.928,7.535,3.5955412121973,17.46,NA,0.555785930012627,NA,1.91441672769936
"Rhett Ellison","TE","MIN",498,7.925,NA,NA,NA,7.925,7.925,2.14883670114216,16.63,NA,NA,NA,NA
"Chris Owusu","WR","TB",499,7.85,NA,NA,NA,7.85,7.85,2.15003581904205,NA,NA,NA,NA,NA
"Allen Reisner","TE","JAC",500,7.8,NA,NA,NA,7.8,7.8,2.15086357318933,NA,NA,NA,NA,NA
"Laron Byrd","WR","ARI",501,7.6625,NA,NA,NA,7.6625,7.6625,2.15325680872706,NA,NA,NA,NA,NA
"Greg Salas","WR","PHI",502,7.6,NA,NA,NA,7.6,7.6,2.1544013274904,NA,NA,NA,NA,NA
"Taylor Price","WR",NA,502,7.6,NA,NA,NA,7.6,7.6,2.1544013274904,NA,NA,NA,NA,NA
"Griff Whalen","WR","IND",504,7.575,NA,NA,NA,7.575,7.575,2.15486905477059,NA,NA,NA,NA,NA
"Jalen Parmele","RB","TEN",505,7.5375,NA,NA,NA,7.5375,7.5375,2.15558127402113,31.96,NA,NA,NA,NA
"Jordan Norwood","WR","CLE",506,7.5,NA,NA,NA,7.5,7.5,2.15630624726805,17.23,NA,NA,NA,NA
"Marcus Thigpen","RB","MIA",507,7.275,NA,NA,NA,7.275,7.275,2.16092392067151,42.3,NA,NA,NA,NA
"Billy Bajema","TE","BAL",508,7.25,NA,NA,NA,7.25,7.25,2.16146533770802,NA,NA,NA,NA,NA
"Tim Tebow","QB","NE",509,7.09,NA,NA,NA,7.09,7.09,2.16506463546773,13.26,NA,NA,NA,NA
"Kealoha Pilares","WR","CAR",510,6.9875,NA,NA,NA,6.9875,6.9875,2.16749244882624,21.27,NA,NA,NA,NA
"Kyle Juszczyk","RB","BAL",511,6.7175,NA,NA,NA,6.7175,6.7175,2.17434374740981,NA,NA,NA,NA,NA
"Darius Reynaud","RB","TEN",512,6.6975,NA,NA,NA,6.6975,6.6975,2.17487755258315,59.68,NA,NA,NA,NA
"Mike Glennon","QB","TB",513,6.56,NA,NA,NA,6.56,6.56,2.17864566892149,NA,NA,NA,NA,NA
"Jonathan Grimes","RB",NA,514,6.55,NA,NA,NA,6.55,6.55,2.17892640250864,NA,NA,NA,NA,NA
"Terrance Copper","WR","KC",515,6.5,NA,NA,NA,6.5,6.5,2.18034367470693,18.3,NA,NA,NA,NA
"Dennis Dixon","QB","PHI",516,6.482,NA,4.862,NA,6.482,3.78133333333333,3.25117670355661,NA,NA,1.14551298552221,NA,2.10034240716001
"Shaun Chapas","RB","DET",517,6.4475,NA,NA,12.5,6.4475,9.47375,3.49227046955804,NA,NA,4.27976379313158,NA,3.0884905776748
"Chad Hall","WR","SF",518,6.4,NA,NA,NA,6.4,6.4,2.18324624041702,NA,NA,NA,NA,NA
"Chris Pressley","RB","CIN",519,6.355,NA,NA,NA,6.355,6.355,2.18458198425793,6.43,NA,NA,NA,NA
"Owen Marecic","RB","CLE",520,6.3325,NA,NA,14.625,6.3325,10.47875,3.43248781675368,NA,NA,5.86368298298945,NA,3.5878593090799
"Quinn Johnson","RB","TEN",521,6.2925,NA,NA,NA,6.2925,6.2925,2.1864676519171,6.5,NA,NA,NA,NA
"Deji Karim","RB","HOU",522,6.275,NA,NA,NA,6.275,6.275,2.18700198751759,12.56,NA,NA,NA,NA
"Tommy Bohanon","RB","NYJ",523,6.1275,NA,NA,NA,6.1275,6.1275,2.19161603787438,NA,NA,NA,NA,NA
"Nathan Palmer","WR","IND",524,6.1125,NA,NA,NA,6.1125,6.1125,2.19209631679792,NA,NA,NA,NA,NA
"Harvey Unga","RB","CHI",525,6.1,NA,NA,NA,6.1,6.1,2.19249810805593,NA,NA,NA,NA,NA
"Kyle Orton","QB","DAL",526,6.054,NA,2.31,NA,6.054,4.182,2.8245790398849,9.56,NA,2.64740778876243,NA,2.57385097211735
"D.C. Jefferson","TE","ARI",527,6,NA,NA,NA,6,6,2.19576345410508,NA,NA,NA,NA,NA
"Kevin Elliott","WR","BUF",527,6,NA,NA,NA,6,6,2.19576345410508,15,NA,NA,NA,NA
"Josh Cooper","WR","CLE",529,5.8875,NA,NA,NA,5.8875,5.8875,2.19954537737891,14.25,NA,NA,NA,NA
"Matt Asiata","RB","MIN",530,5.5475,NA,NA,NA,5.5475,5.5475,2.21167286187938,5.75,NA,NA,NA,NA
"Damien Berry","RB","BAL",531,5.34,NA,NA,NA,5.34,5.34,2.21958937075561,NA,NA,NA,NA,NA
"David Johnson","RB",NA,532,5.3375,NA,NA,NA,5.3375,5.3375,2.21968713112659,NA,NA,NA,NA,NA
"Josh Johnson","QB","CIN",533,5.318,NA,NA,NA,5.318,5.318,2.22045160742982,NA,NA,NA,NA,NA
"Dorin Dickerson","TE","BUF",534,5.3125,NA,NA,NA,5.3125,5.3125,2.22066785248001,10.83,NA,NA,NA,NA
"Antone Smith","RB","ATL",535,5.27,NA,NA,NA,5.27,5.27,2.22234808785709,NA,NA,NA,NA,NA
"Marlon Moore","WR","SF",536,5.175,NA,NA,NA,5.175,5.175,2.22616314333891,27.9,NA,NA,NA,NA
"Brian Hoyer","QB","CLE",537,5.142,NA,3.102,NA,5.142,4.122,2.97115166663775,11.8,NA,1.44249783362056,NA,2.19397404429847
"Graham Harrell","QB","GB",538,5.126,NA,5.72,NA,5.126,5.423,3.21682452830476,NA,NA,0.420021428024809,NA,1.87161369357893
"Ben Hartsock","TE","CAR",539,5.0875,NA,NA,NA,5.0875,5.0875,2.22974942458683,NA,NA,NA,NA,NA
"Shaun Hill","QB","DET",540,5.012,NA,2.282,NA,5.012,3.647,2.83016683369738,14.78,NA,1.93040151263927,NA,2.34779744816879
"Michael Preston","WR","TEN",541,4.925,NA,NA,NA,4.925,4.925,2.23659388558099,8.38,NA,NA,NA,NA
"John Griffin","RB","NYJ",542,4.8575,NA,NA,NA,4.8575,4.8575,2.23950737143815,NA,NA,NA,NA,NA
"Lex Hilliard","RB","NYJ",543,4.6875,NA,NA,NA,4.6875,4.6875,2.24702813022515,16.18,NA,NA,NA,NA
"Anthony Sherman","RB","KC",544,4.665,NA,NA,NA,4.665,4.665,2.2480431659248,14.88,NA,NA,NA,NA
"Charlie Whitehurst","QB","SD",545,4.66,NA,5.392,NA,4.66,5.026,3.15082435348177,NA,NA,0.517602163828553,NA,1.90237837435299
"Jordan White","WR","NYJ",546,4.5,NA,NA,NA,4.5,4.5,2.25562705501471,NA,NA,NA,NA,NA
"Theo Riddick","RB","DET",547,4.48,NA,NA,NA,4.48,4.48,2.256563092889,NA,NA,NA,NA,NA
"Erik Lorig","RB","TB",548,4.43,NA,NA,NA,4.43,4.43,2.25891905921463,23.38,NA,NA,NA,NA
"Richie Brockel","TE","CAR",549,4.4,NA,NA,NA,4.4,4.4,2.26034352242016,NA,NA,NA,NA,NA
"Tristan Davis","RB",NA,550,4.39,NA,NA,NA,4.39,4.39,2.26082015739036,NA,NA,NA,NA,NA
"Kyle Adams","TE","CHI",551,4.3875,NA,NA,NA,4.3875,4.3875,2.26093945784396,6.76,NA,NA,NA,NA
"Seneca Wallace","QB","NO",552,4.27,NA,NA,NA,4.27,4.27,2.26661051919893,NA,NA,NA,NA,NA
"Mike McNeill","TE","STL",553,4.1875,NA,NA,NA,4.1875,4.1875,2.27066715168036,6.88,NA,NA,NA,NA
"Dan Herron","RB",NA,554,4.1,NA,NA,NA,4.1,4.1,2.27503709514508,NA,NA,NA,NA,NA
"Evan Rodriguez","TE","MIA",555,4,NA,NA,8,4,6,3.03399949198638,NA,NA,2.82842712474619,NA,2.63092168427793
"Brock Osweiler","QB","DEN",556,3.922,NA,5.13,NA,3.922,4.526,3.05422873521496,NA,NA,0.854184991673349,NA,2.00849422977657
"LaQuan Williams","WR","BAL",557,3.875,NA,NA,NA,3.875,3.875,2.28659294253322,NA,NA,NA,NA,NA
"Cobi Hamilton","WR","CIN",558,3.8375,NA,NA,NA,3.8375,3.8375,2.28856355608491,NA,NA,NA,NA,NA
"Bradie Ewing","RB","ATL",559,3.75,NA,NA,NA,3.75,3.75,2.29321125324674,NA,NA,NA,NA,NA
"Kerwynn Williams","RB","IND",560,3.53,NA,NA,NA,3.53,1.765,2.30520366794929,NA,NA,NA,NA,NA
"Tommy Gallarda","TE","ATL",561,3.4875,NA,NA,NA,3.4875,3.4875,2.30757097527788,NA,NA,NA,NA,NA
"Terrence Austin","WR","DET",562,3.3875,NA,NA,NA,3.3875,3.3875,2.31320573041654,NA,NA,NA,NA,NA
"Joe Adams","WR","CAR",563,3.375,NA,NA,NA,3.375,3.375,2.31391645180707,NA,NA,NA,NA,NA
"Taylor Yates","QB","HOU",564,3.276,NA,NA,NA,3.276,3.276,2.31959542210438,NA,NA,NA,NA,NA
"Tony Fiammetta","RB","NE",565,3.27,NA,NA,NA,3.27,3.27,2.31994245901757,NA,NA,NA,NA,NA
"Nate Byham","TE","TB",566,3.2375,NA,NA,NA,3.2375,3.2375,2.32182791640855,8.25,NA,NA,NA,NA
"Danny Coale","WR","DAL",567,3.225,NA,NA,NA,3.225,3.225,2.32255564312743,NA,NA,NA,NA,NA
"Matt Hasselbeck","QB","IND",568,3.178,NA,NA,NA,3.178,3.178,2.32530457703064,71.48,NA,NA,NA,NA
"Stefan Logan","RB",NA,569,3.1375,NA,NA,NA,3.1375,3.1375,2.32768940925916,22.14,NA,NA,NA,NA
"Mike Cox","RB",NA,570,3,NA,NA,NA,3,3,2.3358970499969,NA,NA,NA,NA,NA
"Jeff Maehl","WR","HOU",571,2.725,NA,NA,NA,2.725,2.725,2.35282674265625,NA,NA,NA,NA,NA
