"name","pos","name_fp","team_fp","positionRank_fp","overallRank_fp","pts_fp","passAtt_fp","passComp_fp","passYds_fp","passTds_fp","passInt_fp","rushAtt_fp","rushYds_fp","rushTds_fp","rec_fp","recYds_fp","recTds_fp","returnTds_fp","twoPts_fp","fumbles_fp"
"PEYTONMANNING","QB","Peyton Manning","DEN",1,1,363.4,640.3,434.5,5270.7,45.7,12,22.5,-2.6,0,NA,NA,NA,NA,NA,3
"AARONRODGERS","QB","Aaron Rodgers","GB",2,2,345.6,544.1,362.2,4563,37.4,8.1,49.6,216.6,2,NA,NA,NA,NA,NA,2
"DREWBREES","QB","Drew Brees","NO",3,3,336,640,427,5052.5,39.2,14,27.5,50.9,0.5,NA,NA,NA,NA,NA,1.5
"MATTHEWSTAFFORD","QB","Matthew Stafford","DET",4,4,305.8,641.4,393.2,4810,34.1,16.7,31.5,81.9,1.2,NA,NA,NA,NA,NA,2.5
"ANDREWLUCK","QB","Andrew Luck","IND",5,5,302.4,585.6,361.9,4277.2,26.8,10.7,61.3,316.7,3.3,NA,NA,NA,NA,NA,3
"NICKFOLES","QB","Nick Foles","PHI",6,6,298.4,537.1,346.3,4330.3,29.3,12.2,63.4,240.2,2.4,NA,NA,NA,NA,NA,3
"COLINKAEPERNICK","QB","Colin Kaepernick","SF",7,7,293,473.3,281.1,3709.5,24.6,11.6,89.6,488.4,4.1,NA,NA,NA,NA,NA,2
"MATTRYAN","QB","Matt Ryan","ATL",8,8,289.9,635.8,421.2,4700.3,30.1,13.2,26,71.1,0.8,NA,NA,NA,NA,NA,2
"TOMBRADY","QB","Tom Brady","NE",9,9,285.8,632.7,398.3,4572.2,30.9,12,26,27.5,1.1,NA,NA,NA,NA,NA,3
"CAMNEWTON","QB","Cam Newton","CAR",10,10,282,480.2,288.9,3542.1,21.4,14.4,103,546.8,5.8,NA,NA,NA,NA,NA,3
"ROBERTGRIFFIN","QB","Robert Griffin III","WAS",11,11,281.5,461.4,284.5,3613.8,23.3,11.4,88.9,493.4,3.7,NA,NA,NA,NA,NA,2.5
"TONYROMO","QB","Tony Romo","DAL",12,12,281.2,626.5,401,4534,31.5,15.1,23.8,41.9,0.8,NA,NA,NA,NA,NA,2.5
"RUSSELLWILSON","QB","Russell Wilson","SEA",13,13,278.3,442.8,277.5,3557.8,25.5,10.4,90.2,457.9,2.5,NA,NA,NA,NA,NA,3
"JAYCUTLER","QB","Jay Cutler","CHI",14,14,272.4,547.9,342.8,4067.6,30.1,14.3,31.9,160.7,1.3,NA,NA,NA,NA,NA,3
"PHILIPRIVERS","QB","Philip Rivers","SD",15,15,266.3,558.7,371.6,4470.1,29.1,13.6,27.7,52.7,0,NA,NA,NA,NA,NA,3.5
"BENROETHLISBERGER","QB","Ben Roethlisberger","PIT",16,16,265.2,583.5,371,4267.8,28.4,13.6,28,90.5,1,NA,NA,NA,NA,NA,3.5
"JAMAALCHARLES","RB","Jamaal Charles","KC",1,17,263,NA,NA,NA,NA,NA,252.2,1255.2,9.6,67.3,599.1,4,NA,NA,2
"LESEANMCCOY","RB","LeSean McCoy","PHI",2,18,255.2,NA,NA,NA,NA,NA,289.5,1450.9,10.1,43.3,384.9,2.5,NA,NA,2
"ANDYDALTON","QB","Andy Dalton","CIN",17,19,251.3,535.9,331.8,3811.5,27.8,15.1,51.7,148.4,1.5,NA,NA,NA,NA,NA,3
"RYANTANNEHILL","QB","Ryan Tannehill","MIA",18,20,244.7,576.7,348.9,4030.2,23.1,16.5,48.5,233.1,1.3,NA,NA,NA,NA,NA,3.5
"CARSONPALMER","QB","Carson Palmer","ARI",19,21,244.1,568.3,354.8,4345.1,28.4,18.8,19.1,12.8,0,NA,NA,NA,NA,NA,3.5
"ALEXSMITH","QB","Alex Smith","KC",20,22,243.4,530.1,319.9,3535.6,23.3,11.7,65.9,313.9,1.3,NA,NA,NA,NA,NA,3.5
"MATTFORTE","RB","Matt Forte","CHI",3,23,241.7,NA,NA,NA,NA,NA,274.4,1271.8,7.8,66.7,543.4,2.9,NA,NA,2
"ADRIANPETERSON","RB","Adrian Peterson","MIN",4,24,237.1,NA,NA,NA,NA,NA,296,1378.7,11.1,42.9,286.1,1.5,NA,NA,2.5
"CALVINJOHNSON","WR","Calvin Johnson","DET",1,25,229.7,NA,NA,NA,NA,NA,0,0,0,93.8,1578.6,12.3,NA,NA,1
"JOEFLACCO","QB","Joe Flacco","BAL",21,26,226.9,562.6,339.9,3977.9,24.1,17,32.8,81.5,0.7,NA,NA,NA,NA,NA,3.5
"ELIMANNING","QB","Eli Manning","NYG",22,27,225.4,539.1,333.7,3955.5,25.2,16.1,21.8,25.8,0,NA,NA,NA,NA,NA,2
"DEMARYIUSTHOMAS","WR","Demaryius Thomas","DEN",2,28,219.4,NA,NA,NA,NA,NA,0,0,0,94.8,1441.6,12.7,NA,NA,0.5
"EDDIELACY","RB","Eddie Lacy","GB",5,29,218.1,NA,NA,NA,NA,NA,277,1251,10.3,38.4,271.8,1,NA,NA,1
"JOSHMCCOWN","QB","Josh McCown","TB",23,30,209.8,450.7,271.5,3341.6,22.6,13.5,27.4,108.9,1.3,NA,NA,NA,NA,NA,3
"MONTEEBALL","RB","Montee Ball","DEN",6,31,207.7,NA,NA,NA,NA,NA,247.5,1124.1,9.8,45.2,325,1.5,NA,NA,2.5
"DEMARCOMURRAY","RB","DeMarco Murray","DAL",7,32,207.2,NA,NA,NA,NA,NA,231,1131.6,8.6,54.6,404.6,1,NA,NA,2
"JAKELOCKER","QB","Jake Locker","TEN",24,33,205.3,415.9,250.6,2959.5,17.9,11,47.1,281.5,2.2,NA,NA,NA,NA,NA,2
"MARSHAWNLYNCH","RB","Marshawn Lynch","SEA",8,34,202.6,NA,NA,NA,NA,NA,276.4,1209.6,9.8,26.8,208.5,1,NA,NA,2
"DEZBRYANT","WR","Dez Bryant","DAL",3,35,200.9,NA,NA,NA,NA,NA,0.5,4,0,96,1323,11.7,NA,NA,1
"JULIOJONES","WR","Julio Jones","ATL",3,35,200.9,NA,NA,NA,NA,NA,4,35.5,0,92.3,1377.7,10.1,NA,NA,0.5
"GIOVANIBERNARD","RB","Giovani Bernard","CIN",9,37,200.8,NA,NA,NA,NA,NA,230.4,1076.9,5.4,58.1,501.2,2.6,NA,NA,2.5
"DOUGMARTIN","RB","Doug Martin","TB",10,38,198.6,NA,NA,NA,NA,NA,275.7,1188.9,7.5,40.8,297.3,1.5,NA,NA,2
"EJMANUEL","QB","E.J. Manuel","BUF",25,39,196.4,454.2,268.1,2992.9,17,13.9,82.4,320.9,1.9,NA,NA,NA,NA,NA,3.5
"JIMMYGRAHAM","TE","Jimmy Graham","NO",1,40,195.4,NA,NA,NA,NA,NA,NA,NA,NA,87.7,1180.3,12.9,NA,NA,0
"LEVEONBELL","RB","Le'Veon Bell","PIT",11,41,194.6,NA,NA,NA,NA,NA,261.8,1096,7.2,47.3,365.8,1.2,NA,NA,1
"AJGREEN","WR","A.J. Green","CIN",5,42,194.5,NA,NA,NA,NA,NA,0,0,0,91.2,1315.2,10.5,NA,NA,0
"GENOSMITH","QB","Geno Smith","NYJ",26,43,193.8,435.6,260.2,2903.7,17.3,13.7,50,250.6,2.8,NA,NA,NA,NA,NA,3
"ZACSTACY","RB","Zac Stacy","STL",12,44,191.4,NA,NA,NA,NA,NA,285,1185.6,8.9,29.7,186.4,0.8,NA,NA,2
"BRANDONMARSHALL","WR","Brandon Marshall","CHI",6,45,189.7,NA,NA,NA,NA,NA,0,0,0,100.5,1255.1,10.7,NA,NA,0
"ALFREDMORRIS","RB","Alfred Morris","WAS",13,46,188.9,NA,NA,NA,NA,NA,266.9,1279.4,9.3,13.2,101.6,0,NA,NA,2.5
"ARIANFOSTER","RB","Arian Foster","HOU",14,47,188.1,NA,NA,NA,NA,NA,251.4,1100.5,6.3,43.8,346.3,1.6,NA,NA,2
"JOHNNYMANZIEL","QB","Johnny Manziel","CLE",27,48,187.4,364.9,215.7,2561.3,14.3,12.7,75.1,371.3,3.5,NA,NA,NA,NA,NA,2.5
"JORDYNELSON","WR","Jordy Nelson","GB",7,49,186.3,NA,NA,NA,NA,NA,0,0,0,80,1254.6,10.3,NA,NA,0.5
"ALSHONJEFFERY","WR","Alshon Jeffery","CHI",8,50,184.8,NA,NA,NA,NA,NA,12.5,81,0.5,82.3,1276.5,8,NA,NA,1
"ANTONIOBROWN","WR","Antonio Brown","PIT",9,51,184.7,NA,NA,NA,NA,NA,6.5,40.5,0,103.5,1366.4,7.5,NA,NA,0.5
"ANDREELLINGTON","RB","Andre Ellington","ARI",15,52,180.7,NA,NA,NA,NA,NA,195.2,973.6,4.3,53.9,473.4,2.2,NA,NA,1.5
"TOBYGERHART","RB","Toby Gerhart","JAC",16,53,179.3,NA,NA,NA,NA,NA,269.7,1094.1,6.7,36.8,266.8,1,NA,NA,1.5
"RANDALLCOBB","WR","Randall Cobb","GB",10,54,173.4,NA,NA,NA,NA,NA,8.5,94.5,0,86.5,1179.1,8,NA,NA,1
"SHAUNHILL","QB","Shaun Hill","STL",28,55,171.3,409.6,245.8,2960.8,17.1,14.6,28.2,88.5,1.3,NA,NA,NA,NA,NA,1.5
"RYANMATHEWS","RB","Ryan Mathews","SD",17,56,168.8,NA,NA,NA,NA,NA,256.4,1120,6.6,22.4,165.8,0.6,NA,NA,1.5
"JOIQUEBELL","RB","Joique Bell","DET",18,57,168,NA,NA,NA,NA,NA,203.1,882.8,6.9,43,361.3,1.2,NA,NA,2.5
"RYANFITZPATRICK","QB","Ryan Fitzpatrick","HOU",29,58,167.4,426.7,259.9,2881.7,16.7,14.7,32.3,155.6,0.7,NA,NA,NA,NA,NA,2.5
"VINCENTJACKSON","WR","Vincent Jackson","TB",11,59,166.5,NA,NA,NA,NA,NA,0.5,6,0,72.9,1190.7,7.8,NA,NA,0
"FRANKGORE","RB","Frank Gore","SF",19,60,165.2,NA,NA,NA,NA,NA,243.7,1071.5,7.7,16.9,138.3,0,NA,NA,1
"REGGIEBUSH","RB","Reggie Bush","DET",20,61,164.6,NA,NA,NA,NA,NA,185.5,863.5,3.9,48.4,430,2.8,NA,NA,2.5
"RASHADJENNINGS","RB","Rashad Jennings","NYG",21,62,162.5,NA,NA,NA,NA,NA,216.4,948,6.3,38.2,288.8,1,NA,NA,2.5
"LARRYFITZGERALD","WR","Larry Fitzgerald","ARI",12,63,162.3,NA,NA,NA,NA,NA,1,5.5,0,85,1077.8,9,NA,NA,0
"RAYRICE","RB","Ray Rice","BAL",22,64,162.2,NA,NA,NA,NA,NA,197.3,869.6,5.7,46.1,360,1.5,NA,NA,2
"MATTSCHAUB","QB","Matt Schaub","OAK",30,65,162,464.3,275,3073.8,17.3,14.2,35.8,32.1,0,NA,NA,NA,NA,NA,2.5
"ANDREJOHNSON","WR","Andre Johnson","HOU",13,66,161.4,NA,NA,NA,NA,NA,0,0,0,92.6,1260.1,5.9,NA,NA,0
"SHANEVEREEN","RB","Shane Vereen","NE",23,67,160.9,NA,NA,NA,NA,NA,132,593.8,2.6,66.1,605.2,4.4,NA,NA,0.5
"CJSPILLER","RB","C.J. Spiller","BUF",24,68,160.4,NA,NA,NA,NA,NA,207.1,1019.9,4.9,36.2,274.3,1.1,NA,NA,2.5
"MICHAELCRABTREE","WR","Michael Crabtree","SF",14,69,159.9,NA,NA,NA,NA,NA,0.5,6,0,80.9,1150.5,7.7,NA,NA,1
"CHRISJOHNSON","RB","Chris Johnson","NYJ",25,70,158.8,NA,NA,NA,NA,NA,230.1,956.1,5.1,38,291.4,1.4,NA,NA,2.5
"JULIUSTHOMAS","TE","Julius Thomas","DEN",2,71,158.2,NA,NA,NA,NA,NA,NA,NA,NA,76.2,937.8,10.9,NA,NA,0.5
"BISHOPSANKEY","RB","Bishop Sankey","TEN",26,72,156.9,NA,NA,NA,NA,NA,221.9,965.7,5.7,31.4,241.1,1,NA,NA,2
"BENTATE","RB","Ben Tate","CLE",27,73,155.5,NA,NA,NA,NA,NA,229.4,1005.4,6.6,29.1,201.3,0.2,NA,NA,3
"KEENANALLEN","WR","Keenan Allen","SD",15,73,155.5,NA,NA,NA,NA,NA,0,0,0,74.9,1077.4,8.3,NA,NA,1
"CORDARRELLEPATTERSON","WR","Cordarrelle Patterson","MIN",16,75,152.7,NA,NA,NA,NA,NA,13.5,115.5,1,71.2,949.8,6.7,NA,NA,0
"RODDYWHITE","WR","Roddy White","ATL",17,76,152.1,NA,NA,NA,NA,NA,0,0,0,85.6,1092.7,7.3,NA,NA,0.5
"TRENTRICHARDSON","RB","Trent Richardson","IND",28,76,152.1,NA,NA,NA,NA,NA,227.9,866.2,5.7,40.5,312.4,1,NA,NA,3
"MICHAELFLOYD","WR","Michael Floyd","ARI",18,78,151.1,NA,NA,NA,NA,NA,0,0,0,76.8,1115.4,6.6,NA,NA,0
"VICTORCRUZ","WR","Victor Cruz","NYG",19,79,151,NA,NA,NA,NA,NA,0,0,0,82.7,1099.8,7,NA,NA,0.5
"PIERREGARCON","WR","Pierre Garcon","WAS",20,80,149.7,NA,NA,NA,NA,NA,1,9.5,0,84.8,1139.5,5.8,NA,NA,0
"ROBGRONKOWSKI","TE","Rob Gronkowski","NE",3,81,149.5,NA,NA,NA,NA,NA,NA,NA,NA,68.6,924.5,9.5,NA,NA,0
"STEVANRIDLEY","RB","Stevan Ridley","NE",29,82,148.7,NA,NA,NA,NA,NA,227.6,993.7,8,7.9,53.1,0,NA,NA,2
"STEPHENGOSTKOWSKI","K","Stephen Gostkowski","NE",1,83,148.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EMMANUELSANDERS","WR","Emmanuel Sanders","DEN",21,84,146.6,NA,NA,NA,NA,NA,0.5,9.5,0,73.9,1018.9,7.3,NA,NA,0
"PERCYHARVIN","WR","Percy Harvin","SEA",22,85,143.7,NA,NA,NA,NA,NA,20.5,113,1,74.7,908.4,6.1,NA,NA,0.5
"TORREYSMITH","WR","Torrey Smith","BAL",22,85,143.7,NA,NA,NA,NA,NA,2,16.5,0,65.8,1070.2,6,NA,NA,0.5
"DESEANJACKSON","WR","DeSean Jackson","WAS",24,87,141,NA,NA,NA,NA,NA,3.5,24,0,59.7,969.9,7.1,NA,NA,0.5
"PHILDAWSON","K","Phil Dawson","SF",2,88,138.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARQUESCOLSTON","WR","Marques Colston","NO",25,89,137.9,NA,NA,NA,NA,NA,0,0,0,76.1,989.1,6.5,NA,NA,0
"JULIANEDELMAN","WR","Julian Edelman","NE",26,90,135.9,NA,NA,NA,NA,NA,2,17,0,85.2,970.2,6.2,NA,NA,0
"MAURICEJONESDREW","RB","Maurice Jones-Drew","OAK",30,91,135.8,NA,NA,NA,NA,NA,199.7,790.1,4.9,34.2,252.2,0.7,NA,NA,1
"TYHILTON","WR","Ty Hilton","IND",27,92,135.4,NA,NA,NA,NA,NA,4.5,29.5,0,69.3,986.6,5.8,NA,NA,0.5
"GOLDENTATE","WR","Golden Tate","DET",28,93,135.2,NA,NA,NA,NA,NA,3,25,0,70.7,974.5,6.2,NA,NA,1
"PIERRETHOMAS","RB","Pierre Thomas","NO",31,93,135.2,NA,NA,NA,NA,NA,138,562.4,2.7,64.7,449.5,3.3,NA,NA,1
"MIKEWALLACE","WR","Mike Wallace","MIA",29,95,134.5,NA,NA,NA,NA,NA,4.5,38.5,0,71.6,986.3,5.5,NA,NA,0.5
"JUSTINTUCKER","K","Justin Tucker","BAL",3,96,134.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MASONCROSBY","K","Mason Crosby","GB",4,97,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVENHAUSCHKA","K","Steven Hauschka","SEA",5,98,133.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FREDJACKSON","RB","Fred Jackson","BUF",32,99,133.5,NA,NA,NA,NA,NA,162.9,690.4,5.4,37.5,308.5,0.7,NA,NA,1.5
"JEREMYMACLIN","WR","Jeremy Maclin","PHI",30,100,133.1,NA,NA,NA,NA,NA,0,0,0,69.4,956.9,6.4,NA,NA,0.5
"ADAMVINATIERI","K","Adam Vinatieri","IND",6,101,132.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KENDALLWRIGHT","WR","Kendall Wright","TEN",31,102,132.6,NA,NA,NA,NA,NA,0.5,4,0,87.9,1053.6,4.8,NA,NA,1
"VERNONDAVIS","TE","Vernon Davis","SF",4,103,131.3,NA,NA,NA,NA,NA,NA,NA,NA,57.7,771,9.2,NA,NA,0.5
"DANBAILEY","K","Dan Bailey","DAL",7,104,130.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHAYNEGRAHAM","K","Shayne Graham","NO",7,104,130.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEVENJACKSON","RB","Steven Jackson","ATL",33,106,130.3,NA,NA,NA,NA,NA,181.6,735.6,5.5,29.5,196.9,1,NA,NA,1
"TERRANCEWILLIAMS","WR","Terrance Williams","DAL",32,107,129.8,NA,NA,NA,NA,NA,2,9.5,0,60.4,914,6.4,NA,NA,0.5
"NICKNOVAK","K","Nick Novak","SD",9,108,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTBRYANT","K","Matt Bryant","ATL",10,109,128.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KNOWSHONMORENO","RB","Knowshon Moreno","MIA",34,110,127.6,NA,NA,NA,NA,NA,162.7,676.4,4.5,34.4,271.8,1.3,NA,NA,1
"ERICDECKER","WR","Eric Decker","NYJ",33,111,125.9,NA,NA,NA,NA,NA,0,0,0,65.5,918.7,6,NA,NA,1
"CHADHENNE","QB","Chad Henne","JAC",31,112,125.4,368.7,213.5,2439.5,12,10.6,19.1,50.5,0,NA,NA,NA,NA,NA,2
"TEDDYBRIDGEWATER","QB","Teddy Bridgewater","MIN",32,113,124.6,257.6,157.9,1933.9,10.7,7.8,33.1,128.8,1.7,NA,NA,NA,NA,NA,1.5
"JASONWITTEN","TE","Jason Witten","DAL",5,114,124.1,NA,NA,NA,NA,NA,NA,NA,NA,76.7,850.9,6.5,NA,NA,0
"REGGIEWAYNE","WR","Reggie Wayne","IND",34,115,124,NA,NA,NA,NA,NA,0,0,0,74.1,939.7,5,NA,NA,0
"ROBBIEGOULD","K","Robbie Gould","CHI",11,116,123.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANCAMERON","TE","Jordan Cameron","CLE",6,117,122.4,NA,NA,NA,NA,NA,NA,NA,NA,74.5,880,5.9,NA,NA,0.5
"DANNYWOODHEAD","RB","Danny Woodhead","SD",35,118,122.3,NA,NA,NA,NA,NA,84.3,349.6,1.5,65.1,563.6,4,NA,NA,1
"SAMMYWATKINS","WR","Sammy Watkins","BUF",35,119,121.5,NA,NA,NA,NA,NA,3.5,21,0,58.4,847.6,6.1,NA,NA,1
"DENNISPITTA","TE","Dennis Pitta","BAL",7,120,121.4,NA,NA,NA,NA,NA,NA,NA,NA,66.5,793.8,7,NA,NA,0
"DEANGELOWILLIAMS","RB","DeAngelo Williams","CAR",36,121,121,NA,NA,NA,NA,NA,179.7,753,3.6,24.8,211.1,1,NA,NA,1.5
"ALEXHENERY","K","Alex Henery","PHI",12,122,120.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TERRANCEWEST","RB","Terrance West","CLE",37,122,120.3,NA,NA,NA,NA,NA,164.2,710.4,5.1,21.2,168.6,0.3,NA,NA,0
"LAMARMILLER","RB","Lamar Miller","MIA",38,124,120.1,NA,NA,NA,NA,NA,161,720.8,4.6,26.3,206.1,0.3,NA,NA,1
"KELVINBENJAMIN","WR","Kelvin Benjamin","CAR",36,125,118.4,NA,NA,NA,NA,NA,0,0,0,57,831.7,6.2,NA,NA,1
"BLAIRWALSH","K","Blair Walsh","MIN",13,126,118.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHAUNSUISHAM","K","Shaun Suisham","PIT",13,126,118.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAYFEELY","K","Jay Feely","ARI",15,128,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WESWELKER","WR","Wes Welker","DEN",37,129,116.4,NA,NA,NA,NA,NA,0,0,0,65.8,807.9,6.1,NA,NA,0.5
"DANCARPENTER","K","Dan Carpenter","BUF",16,130,115.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NATEFREESE","K","Nate Freese","DET",17,131,115.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RUEBENRANDLE","WR","Rueben Randle","NYG",38,131,115.5,NA,NA,NA,NA,NA,0,0,0,57,803,6.2,NA,NA,1
"JORDANREED","TE","Jordan Reed","WAS",8,133,115.3,NA,NA,NA,NA,NA,NA,NA,NA,64.5,762.8,6.5,NA,NA,0
"RYANSUCCOP","K","Ryan Succop","KC",18,134,114.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREGOLSEN","TE","Greg Olsen","CAR",9,135,112.8,NA,NA,NA,NA,NA,NA,NA,NA,70.5,807.6,5.5,NA,NA,0.5
"CALEBSTURGIS","K","Caleb Sturgis","MIA",19,136,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GREGZUERLEIN","K","Greg Zuerlein","STL",19,136,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"KYLERUDOLPH","TE","Kyle Rudolph","MIN",10,138,112.1,NA,NA,NA,NA,NA,NA,NA,NA,63.3,700.7,7,NA,NA,0
"SEBASTIANJANIKOWSKI","K","Sebastian Janikowski","OAK",21,139,111.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GRAHAMGANO","K","Graham Gano","CAR",22,140,111.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NICKFOLK","K","Nick Folk","NYJ",23,141,111.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDINCOOKS","WR","Brandin Cooks","NO",39,142,111,NA,NA,NA,NA,NA,4.5,26,0,53.7,768,5.6,NA,NA,1
"BERNARDPIERCE","RB","Bernard Pierce","BAL",39,143,110.8,NA,NA,NA,NA,NA,161.7,671.2,4.7,20.2,136.5,0.3,NA,NA,0
"DWAYNEBOWE","WR","Dwayne Bowe","KC",40,144,110.5,NA,NA,NA,NA,NA,0,0,0,63.3,791.1,5.4,NA,NA,0.5
"MIKENUGENT","K","Mike Nugent","CIN",24,145,109.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOSHBROWN","K","Josh Brown","NYG",25,146,109.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
